x,y,z,T
0.011767529,-0.024079738,0.020298,496.27213678575623
0.014361702,-0.024335448,0.0011975081,444.6085101540565
0.007265115,-0.025314616,0.013673994,476.20366411403313
0.011775225,0.024619589,0.0028569866,439.1453472223438
-0.010693796,0.024579184,-0.0050743916,430.4305599537054
-0.0050960546,0.025593901,0.018352253,476.8597780571252
-0.019786147,0.0015680488,0.015377968,486.3988236580184
-0.0203611,-0.0043085474,-0.011689817,433.2118211192474
-0.020090688,-0.0023608224,0.009636035,464.92480329226595
-0.019044451,0.014297401,-0.003927454,435.3741911981352
